2000,4,10,2,20,S,0,42.0,0,0,1,1
2001,4,10,2,20,S,0,41.0,1,1,1,1
2002,4,10,2,20,U,0,24.0
2003,4,10,2,20,S,0,30.0,1,1,1,1
2004,4,10,2,20,S,0,30.0,0,0,0,1
2005,4,10,2,20,U,0,32.0
2006,4,10,2,20,S,0,34.0,0,1,1,1
2007,4,10,2,20,U,0,29.0
2008,4,10,2,20,S,0,35.0
2009,4,10,2,20,U,0,32.0
2010,8,16,2,32,U,0,552.0
2011,8,16,2,32,S,0,290.25,0,0,1,1,1,0,1,1
2012,8,16,2,32,S,0,420.25,0,1,1,1,1,0,1,1
2013,8,16,2,32,S,0,404.0,0,0,1,1,0,1,1,1
2014,8,16,2,32,U,0,355.25
2015,8,16,2,32,U,0,403.25
2016,8,16,2,32,S,0,405.25,1,1,1,1,1,0,1,1
2017,8,16,2,32,S,0,413.25,1,1,0,0,0,1,1,1
2018,8,16,2,32,U,0,428.0
2019,8,16,2,32,U,0,439.0
2020,12,24,2,48,U,0,10145.75
2021,12,24,2,48,S,0,8913.5,1,0,1,0,0,1,1,1,1,0,1,1
2022,12,24,2,48,U,0,6528.25
2023,12,24,2,48,U,0,4073.25
2024,12,24,2,48,S,0,7293.25,0,1,0,0,1,0,1,0,0,0,1,1
2025,12,24,2,48,U,0,6486.0
2026,12,24,2,48,U,0,6094.0
2027,12,24,2,48,S,0,7699.75,0,1,1,1,1,1,0,1,0,0,1,1
2028,12,24,2,48,S,0,4778.75,0,1,1,1,0,0,1,1,0,0,0,1
2029,12,24,2,48,U,0,6297.0
2030,16,32,2,64,U,0,84610.0
2031,16,32,2,64,U,0,68453.0
2032,16,32,2,64,U,0,69095.0
2033,16,32,2,64,S,0,73407.25,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
2034,16,32,2,64,U,0,79123.0
2035,16,32,2,64,U,0,74715.0
2036,16,32,2,64,S,0,72387.75,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1
2037,16,32,2,64,U,0,75377.5
2038,16,32,2,64,U,0,85211.25
2039,16,32,2,64,U,0,67721.0
2040,18,36,2,72,U,0,287045.0
2041,18,36,2,72,S,0,283250.25,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1
2042,18,36,2,72,U,0,228085.0
2043,18,36,2,72,U,0,264699.0
2044,18,36,2,72,U,0,242088.0
2045,18,36,2,72,S,0,337281.0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1
2046,18,36,2,72,S,0,251038.75,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1
2047,18,36,2,72,U,0,269740.0
2048,18,36,2,72,U,0,303550.0
2049,18,36,2,72,U,0,284813.0
2050,20,40,2,80,U,0,1029910.0
2051,20,40,2,80,S,0,1133216.5,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1
2052,20,40,2,80,U,0,1053141.5
2053,20,40,2,80,U,0,1121443.25
2054,20,40,2,80,S,0,1049890.0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1
2055,20,40,2,80,U,0,803577.0
2056,20,40,2,80,U,0,890993.25
2057,20,40,2,80,S,0,1274418.0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1
2058,20,40,2,80,U,0,1353887.0
2059,20,40,2,80,S,0,1177786.25,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1
2060,22,44,2,88,U,0,4650226.0
2061,22,44,2,88,U,0,4758486.0
2062,22,44,2,88,U,0,4719693.75
2063,22,44,2,88,U,0,4635752.75
2064,22,44,2,88,U,0,4978837.0
2065,22,44,2,88,U,0,4881592.25
2066,22,44,2,88,U,0,4617896.0
2067,22,44,2,88,U,0,5506599.0
2068,22,44,2,88,U,0,3778804.0
2069,22,44,2,88,U,0,4083328.0
2070,24,48,2,96,U,0,20475206.0
2071,24,48,2,96,U,0,19147947.0
2072,24,48,2,96,U,0,18575726.0
2073,24,48,2,96,S,0,18071146.0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1
2074,24,48,2,96,U,0,20830690.0
2075,24,48,2,96,U,0,17074575.0
2076,24,48,2,96,S,0,22444340.25,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1
2077,24,48,2,96,S,0,19868320.0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1
2078,24,48,2,96,U,0,21584642.0
2079,24,48,2,96,S,0,18339081.0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1
2080,4,20,3,60,U,0,36.75
2081,4,20,3,60,S,0,34.25,1,0,0,1
2082,4,20,3,60,S,0,45.0,0,1,1,1
2083,4,20,3,60,S,0,62.75,0,0,0,1
2084,4,20,3,60,U,0,30.0
2085,4,20,3,60,S,0,34.0,0,0,0,1
2086,4,20,3,60,S,0,44.25,0,0,1,1
2087,4,20,3,60,U,0,54.0
2088,4,20,3,60,U,0,38.25
2089,4,20,3,60,S,0,37.5,0,1,0,1
2090,8,40,3,120,S,0,760.75,0,0,0,0,0,1,1,1
2091,8,40,3,120,U,0,760.0
2092,8,40,3,120,U,0,716.0
2093,8,40,3,120,S,0,1116.0,0,1,1,0,0,1,0,1
2094,8,40,3,120,S,0,1158.25,1,1,1,0,1,1,0,1
2095,8,40,3,120,S,0,910.0,1,1,0,1,1,1,1,1
2096,8,40,3,120,U,0,1358.75
2097,8,40,3,120,S,0,817.25,0,1,1,0,1,1,1,1
2098,8,40,3,120,U,0,669.0
2099,8,40,3,120,S,0,757.0,0,0,0,0,1,0,1,1
2100,12,60,3,180,U,0,12648.0
2101,12,60,3,180,U,0,9648.0
2102,12,60,3,180,U,0,11557.0
2103,12,60,3,180,S,0,12456.0,0,0,1,0,1,1,1,0,1,0,1,1
2104,12,60,3,180,S,0,13681.75,0,1,1,0,1,1,0,0,0,1,1,1
2105,12,60,3,180,S,0,14087.75,0,1,1,1,0,1,0,1,0,0,0,1
2106,12,60,3,180,U,0,14305.25
2107,12,60,3,180,U,0,11536.75
2108,12,60,3,180,U,0,25692.75
2109,12,60,3,180,S,0,14362.0,1,0,1,1,0,1,0,0,1,1,1,1
2110,16,80,3,240,U,0,186052.25
2111,16,80,3,240,S,0,166851.0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1
2112,16,80,3,240,S,0,150872.0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
2113,16,80,3,240,U,0,149128.0
2114,16,80,3,240,U,0,155587.25
2115,16,80,3,240,S,0,189687.75,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1
2116,16,80,3,240,U,0,162000.0
2117,16,80,3,240,U,0,148487.0
2118,16,80,3,240,U,0,162098.25
2119,16,80,3,240,U,0,162793.0
2120,18,90,3,270,U,0,531908.25
2121,18,90,3,270,S,0,645116.75,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
2122,18,90,3,270,U,0,646598.0
2123,18,90,3,270,U,0,539326.0
2124,18,90,3,270,U,0,605020.25
2125,18,90,3,270,U,0,561400.0
2126,18,90,3,270,U,0,609994.25
2127,18,90,3,270,U,0,564014.25
2128,18,90,3,270,U,0,584380.0
2129,18,90,3,270,U,0,621627.0
2130,20,100,3,300,U,0,2332366.0
2131,20,100,3,300,U,0,2118766.0
2132,20,100,3,300,U,0,2561427.0
2133,20,100,3,300,S,0,2797577.0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1
2134,20,100,3,300,U,0,3192871.0
2135,20,100,3,300,U,0,2614688.0
2136,20,100,3,300,U,0,2729079.0
2137,20,100,3,300,U,0,2708057.75
2138,20,100,3,300,U,0,2469646.25
2139,20,100,3,300,S,0,2128619.5,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
2140,22,110,3,330,U,0,9964003.0
2141,22,110,3,330,U,0,10644763.75
2142,22,110,3,330,U,0,9165170.0
2143,22,110,3,330,U,0,10302390.75
2144,22,110,3,330,U,0,9094176.0
2145,22,110,3,330,S,0,10740625.0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2146,22,110,3,330,U,0,9944379.75
2147,22,110,3,330,U,0,9837775.25
2148,22,110,3,330,U,0,9148653.0
2149,22,110,3,330,U,0,10079564.25
2150,24,120,3,360,U,0,39333026.0
2151,24,120,3,360,U,0,36951915.0
2152,24,120,3,360,U,0,40561038.0
2153,24,120,3,360,U,0,89286257.25
2154,24,120,3,360,U,0,38130770.0
2155,24,120,3,360,U,0,38954496.0
2156,24,120,3,360,U,0,37786350.25
2157,24,120,3,360,U,0,39015922.75
2158,24,120,3,360,U,0,35586033.75
2159,24,120,3,360,S,0,35512420.75,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1
2160,4,40,4,160,U,0,123.0
2161,4,40,4,160,U,0,47.25
2162,4,40,4,160,U,0,83.0
2163,4,40,4,160,U,0,88.0
2164,4,40,4,160,S,0,94.25,0,0,1,1
2165,4,40,4,160,U,0,87.0
2166,4,40,4,160,S,0,109.0,0,0,1,1
2167,4,40,4,160,S,0,65.0,1,1,1,1
2168,4,40,4,160,S,0,72.0,0,1,1,1
2169,4,40,4,160,U,0,102.0
2170,8,80,4,320,U,0,864.0
2171,8,80,4,320,S,0,2257.0,1,1,1,0,1,1,1,1
2172,8,80,4,320,S,0,1548.0,0,0,1,0,1,0,0,1
2173,8,80,4,320,S,0,1767.75,0,0,1,0,1,0,0,1
2174,8,80,4,320,S,0,1293.75,0,0,1,1,0,1,0,1
2175,8,80,4,320,S,0,1717.25,1,1,0,1,0,0,0,1
2176,8,80,4,320,S,0,1127.0,1,1,0,1,0,0,1,1
2177,8,80,4,320,U,0,2312.25
2178,8,80,4,320,U,0,1805.0
2179,8,80,4,320,S,0,1863.0,1,1,0,0,1,1,1,1
2180,12,120,4,480,S,0,26162.0,0,0,0,0,1,0,1,0,1,0,1,1
2181,12,120,4,480,S,0,26553.0,0,0,0,0,0,0,1,1,0,0,0,1
2182,12,120,4,480,S,0,27075.75,1,1,0,1,0,1,1,0,1,0,1,1
2183,12,120,4,480,U,0,21569.0
2184,12,120,4,480,U,0,24523.0
2185,12,120,4,480,U,0,25994.0
2186,12,120,4,480,S,0,26902.0,1,1,0,0,0,1,1,1,0,1,0,1
2187,12,120,4,480,U,0,21083.0
2188,12,120,4,480,S,0,27584.25,0,1,1,1,1,0,1,0,0,1,1,1
2189,12,120,4,480,U,0,26282.0
2190,16,160,4,640,U,0,323561.0
2191,16,160,4,640,U,0,339438.0
2192,16,160,4,640,U,0,293178.0
2193,16,160,4,640,S,0,356750.25,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1
2194,16,160,4,640,U,0,446894.75
2195,16,160,4,640,S,0,348637.0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
2196,16,160,4,640,U,0,343115.0
2197,16,160,4,640,U,0,313817.0
2198,16,160,4,640,S,0,321964.5,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1
2199,16,160,4,640,S,0,325415.0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1
2200,18,180,4,720,S,0,1249600.0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
2201,18,180,4,720,S,0,1447829.0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
2202,18,180,4,720,U,0,1403591.25
2203,18,180,4,720,S,0,1559993.0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1
2204,18,180,4,720,U,0,1446302.0
2205,18,180,4,720,S,0,1254442.0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1
2206,18,180,4,720,S,0,1275407.0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1
2207,18,180,4,720,U,0,1256935.0
2208,18,180,4,720,U,0,1397701.75
2209,18,180,4,720,S,0,1291725.0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1
2210,20,200,4,800,S,0,4926166.25,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1
2211,20,200,4,800,S,0,6395038.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
2212,20,200,4,800,U,0,4753213.75
2213,20,200,4,800,U,0,4971779.0
2214,20,200,4,800,S,0,5130158.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
2215,20,200,4,800,U,0,4488569.0
2216,20,200,4,800,U,0,5248054.75
2217,20,200,4,800,U,0,5382544.0
2218,20,200,4,800,S,0,5221748.0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1
2219,20,200,4,800,S,0,5485062.25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
2220,22,220,4,880,S,0,18199826.25,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1
2221,22,220,4,880,S,0,18702777.0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
2222,22,220,4,880,S,0,17329894.0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1
2223,22,220,4,880,S,0,19019151.0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1
2224,22,220,4,880,S,0,23109533.25,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1
2225,22,220,4,880,U,0,18988337.75
2226,22,220,4,880,U,0,20924843.0
2227,22,220,4,880,S,0,18655967.0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1
2228,22,220,4,880,U,0,20510259.25
2229,22,220,4,880,U,0,25325243.0
2230,24,240,4,960,U,0,81206015.0
2231,24,240,4,960,U,0,85901614.0
2232,24,240,4,960,S,0,98066334.0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1
2233,24,240,4,960,U,0,86827163.75
2234,24,240,4,960,U,0,72040294.0
2235,24,240,4,960,S,0,70868691.0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1
2236,24,240,4,960,U,0,62049811.0
2237,24,240,4,960,U,0,74914067.0
2238,24,240,4,960,S,0,79737128.0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1
2239,24,240,4,960,U,0,80922692.0

kSAT,triplem,240,92,148,0,?